series_id,area_code,item_code,seasonal,periodicity_code,base_code,base_period,series_title,footnote_codes,begin_year,begin_period,end_year,end_period,item_name,display_level_x,selectable_x,sort_sequence_x,area_name,display_level_y,selectable_y,sort_sequence_y
CUSR0000SA0,0000,SA0,S,R,S,1982-84=100,"All items in U.S. city average, all urban consumers, seasonally adjusted",,1947,M01,2025,M04,All items,0,T,1,U.S. city average,0,T,1
CUUR0000SA0,0000,SA0,U,R,S,1982-84=100,"All items in U.S. city average, all urban consumers, not seasonally adjusted",,1913,M01,2025,M04,All items,0,T,1,U.S. city average,0,T,1
CUUS0000SA0,0000,SA0,U,S,S,1982-84=100,"All items in U.S. city average, all urban consumers, not seasonally adjusted",,1984,S01,2024,S03,All items,0,T,1,U.S. city average,0,T,1
CUSR0000SA0E,0000,SA0E,S,R,S,1982-84=100,"Energy in U.S. city average, all urban consumers, seasonally adjusted",,1957,M01,2025,M04,Energy,1,T,375,U.S. city average,0,T,1
CUUR0000SA0E,0000,SA0E,U,R,S,1982-84=100,"Energy in U.S. city average, all urban consumers, not seasonally adjusted",,1957,M01,2025,M04,Energy,1,T,375,U.S. city average,0,T,1
CUUS0000SA0E,0000,SA0E,U,S,S,1982-84=100,"Energy in U.S. city average, all urban consumers, not seasonally adjusted",,1984,S01,2024,S03,Energy,1,T,375,U.S. city average,0,T,1
CUSR0000SA0L1,0000,SA0L1,S,R,S,1982-84=100,"All items less food in U.S. city average, all urban consumers, seasonally adjusted",,1947,M01,2025,M04,All items less food,1,T,359,U.S. city average,0,T,1
CUUR0000SA0L1,0000,SA0L1,U,R,S,1982-84=100,"All items less food in U.S. city average, all urban consumers, not seasonally adjusted",,1935,M03,2025,M04,All items less food,1,T,359,U.S. city average,0,T,1
CUUS0000SA0L1,0000,SA0L1,U,S,S,1982-84=100,"All items less food in U.S. city average, all urban consumers, not seasonally adjusted",,1984,S01,2024,S03,All items less food,1,T,359,U.S. city average,0,T,1
CUSR0000SA0L12,0000,SA0L12,S,R,S,1982-84=100,"All items less food and shelter in U.S. city average, all urban consumers, seasonally adjusted",,1967,M01,2025,M04,All items less food and shelter,1,T,362,U.S. city average,0,T,1
CUUR0000SA0L12,0000,SA0L12,U,R,S,1982-84=100,"All items less food and shelter in U.S. city average, all urban consumers, not seasonally adjusted",,1967,M01,2025,M04,All items less food and shelter,1,T,362,U.S. city average,0,T,1
CUUS0000SA0L12,0000,SA0L12,U,S,S,1982-84=100,"All items less food and shelter in U.S. city average, all urban consumers, not seasonally adjusted",,2018,S01,2024,S03,All items less food and shelter,1,T,362,U.S. city average,0,T,1
CUSR0000SA0L12E,0000,SA0L12E,S,R,S,1982-84=100,"All items less food, shelter, and energy in U.S. city average, all urban consumers, seasonally adjusted",,1967,M01,2025,M04,"All items less food, shelter, and energy",1,T,363,U.S. city average,0,T,1
CUUR0000SA0L12E,0000,SA0L12E,U,R,S,1982-84=100,"All items less food, shelter, and energy in U.S. city average, all urban consumers, not seasonally adjusted",,1967,M01,2025,M04,"All items less food, shelter, and energy",1,T,363,U.S. city average,0,T,1
CUUS0000SA0L12E,0000,SA0L12E,U,S,S,1982-84=100,"All items less food, shelter, and energy in U.S. city average, all urban consumers, not seasonally adjusted",,2018,S01,2024,S03,"All items less food, shelter, and energy",1,T,363,U.S. city average,0,T,1
CUSR0000SA0L12E4,0000,SA0L12E4,S,R,S,1982-84=100,"All items less food, shelter, energy, and used cars and trucks in U.S. city average, all urban consumers, seasonally adjusted",,1967,M01,2025,M04,"All items less food, shelter, energy, and used cars and trucks",1,T,364,U.S. city average,0,T,1
CUUR0000SA0L12E4,0000,SA0L12E4,U,R,S,1982-84=100,"All items less food, shelter, energy, and used cars and trucks in U.S. city average, all urban consumers, not seasonally adjusted",,1967,M01,2025,M04,"All items less food, shelter, energy, and used cars and trucks",1,T,364,U.S. city average,0,T,1
